Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2026-04-26,Hellas Verona,Lecce,,,,,
2026-04-26,Parma,Pisa,,,,,
2026-04-26,Bologna,Roma,,,,,
2026-04-26,Torino,Inter,,,,,
2026-04-26,Napoli,Cremonese,,,,,
2026-04-26,Milan,Juventus,,,,,
2026-04-26,Cagliari,Atalanta,,,,,
2026-04-26,Fiorentina,Sassuolo,,,,,
,,,,,,,
2026-05-03,Juventus,Hellas Verona,,,,,
2026-05-03,Como,Napoli,,,,,
2026-05-03,Cremonese,Lazio,,,,,
2026-05-03,Roma,Fiorentina,,,,,
2026-05-03,Udinese,Torino,,,,,
2026-05-03,Atalanta,Genoa,,,,,
2026-05-03,Sassuolo,Milan,,,,,
2026-05-03,Inter,Parma,,,,,
2026-05-03,Bologna,Cagliari,,,,,
2026-05-03,Pisa,Lecce,,,,,
,,,,,,,
2026-05-10,Parma,Roma,,,,,
2026-05-10,Milan,Atalanta,,,,,
2026-05-10,Fiorentina,Genoa,,,,,
2026-05-10,Cremonese,Pisa,,,,,
2026-05-10,Hellas Verona,Como,,,,,
2026-05-10,Lazio,Inter,,,,,
2026-05-10,Lecce,Juventus,,,,,
2026-05-10,Torino,Sassuolo,,,,,
2026-05-10,Cagliari,Udinese,,,,,
2026-05-10,Napoli,Bologna,,,,,
,,,,,,,
2026-05-17,Roma,Lazio,,,,,
2026-05-17,Pisa,Napoli,,,,,
2026-05-17,Como,Parma,,,,,
,Home,Away,Score,,,,
2026-05-17,Sassuolo,Lecce,,,,,
2026-05-17,Udinese,Cremonese,,,,,
2026-05-17,Inter,Hellas Verona,,,,,
2026-05-17,Genoa,Milan,,,,,
2026-05-17,Cagliari,Torino,,,,,
2026-05-17,Atalanta,Bologna,,,,,
2026-05-17,Juventus,Fiorentina,,,,,
,,,,,,,
2026-05-24,Fiorentina,Atalanta,,,,,
2026-05-24,Milan,Cagliari,,,,,
2026-05-24,Napoli,Udinese,,,,,
2026-05-24,Parma,Sassuolo,,,,,
2026-05-24,Lecce,Genoa,,,,,
2026-05-24,Cremonese,Como,,,,,
2026-05-24,Torino,Juventus,,,,,
2026-05-24,Lazio,Pisa,,,,,
2026-05-24,Hellas Verona,Roma,,,,,
2026-05-24,Bologna,Inter,,,,,
