Date,Home,Away,Score,HomeGoals,AwayGoals
2026-03-21,AFC Wimbledon,P'borough Utd,,,
2026-03-21,Leyton Orient,Wycombe,,,
2026-03-21,Mansfield Town,Northampton,,,
2026-03-21,Plymouth Argyle,Huddersfield,,,
2026-03-21,Lincoln City,Rotherham Utd,,,
2026-03-21,Burton Albion,Bradford City,,,
2026-03-21,Luton Town,Stockport,,,
2026-03-21,Stevenage,Reading,,,
,Home,Away,Score,,
2026-03-21,Wigan Athletic,Exeter City,,,
2026-03-21,Port Vale,Bolton,,,
2026-03-21,Cardiff City,Blackpool,,,
2026-03-21,Barnsley,Doncaster,,,
,,,,,
2026-03-28,Rotherham Utd,Luton Town,,,
2026-03-28,Northampton,Barnsley,,,
2026-03-28,Exeter City,Leyton Orient,,,
2026-03-28,Bolton,Stevenage,,,
2026-03-28,Stockport,AFC Wimbledon,,,
2026-03-28,Doncaster,Lincoln City,,,
2026-03-28,Blackpool,Burton Albion,,,
2026-03-28,Bradford City,Plymouth Argyle,,,
2026-03-28,Wycombe,Port Vale,,,
2026-03-28,Reading,Wigan Athletic,,,
2026-03-28,P'borough Utd,Mansfield Town,,,
2026-03-28,Huddersfield,Cardiff City,,,
,,,,,
2026-04-03,Luton Town,P'borough Utd,,,
2026-04-03,Rotherham Utd,Stevenage,,,
2026-04-03,Burton Albion,Barnsley,,,
2026-04-03,Wigan Athletic,Leyton Orient,,,
2026-04-03,Stockport,Wycombe,,,
2026-04-03,Doncaster,Mansfield Town,,,
2026-04-03,Plymouth Argyle,Bolton,,,
2026-04-03,Bradford City,Northampton,,,
2026-04-03,Huddersfield,Reading,,,
2026-04-03,Blackpool,Exeter City,,,
2026-04-03,Lincoln City,AFC Wimbledon,,,
2026-04-03,Cardiff City,Port Vale,,,
,,,,,
2026-04-06,Port Vale,Rotherham Utd,,,
2026-04-06,AFC Wimbledon,Luton Town,,,
2026-04-06,Northampton,Wigan Athletic,,,
2026-04-06,Barnsley,Plymouth Argyle,,,
2026-04-06,P'borough Utd,Cardiff City,,,
