Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
11,Fri,2023-10-27,18:00 (23:00),Al-Raed,1–2,Al-Fateh,2220,Prince Abdullah bin Abdul Aziz Stadium,Raed Ali Al Zahrani,Match Report,
11,Fri,2023-10-27,21:00 (02:00),Al-Hilal,3–1,Al-Ahli,50986,King Fahd International Stadium,Yael Falcón,Match Report,
11,Sat,2023-10-28,18:00 (23:00),Abha,2–1,Al-Shabab,1378,Prince Sultan bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
11,Sat,2023-10-28,18:00 (23:00),Al-Fayha,1–3,Al-Nassr,5400,King Fahd International Stadium,Tasos Sidiropoulos,Match Report,
11,Sat,2023-10-28,21:00 (02:00),Al-Wehda,2–3,Al-Ettifaq,1188,King Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
,,,,,,,,,,,
12,Fri,2023-11-03,18:00 (23:00),Al-Fateh,0–2,Al-Hilal,18097,Prince Abdullah bin Jalawi Stadium,Said Martínez,Match Report,
12,Fri,2023-11-03,18:00 (23:00),Al-Ta'ee,3–3,Al-Fayha,4331,Prince Abdul Aziz bin Musa'ed Stadium,Faisal Suleiman Al Balawi,Match Report,
12,Fri,2023-11-03,21:00 (02:00),Al-Shabab,1–0,Al-Ittihad,11476,King Fahd International Stadium,Nicolás Ramírez,Match Report,
12,Sat,2023-11-04,18:00 (23:00),Abha,3–2,Al Okhdood SC,370,Prince Sultan bin Abdul Aziz Stadium,Sami Ahmed Al Jurays,Match Report,
12,Sat,2023-11-04,21:00 (02:00),Al-Ettifaq,0–0,Al-Raed,12356,Prince Mohammed bin Fahad bin Abdulaziz ...,Majed Mohammed Al Shamrani,Match Report,
12,Sat,2023-11-04,21:00 (02:00),Al-Nassr,2–0,Al-Khaleej,17121,Al Awwal Park Stadium,Guillermo Guerrero,Match Report,
12,Sun,2023-11-05,18:00 (23:00),Al-Hazem,1–2,Al-Wehda,427,Ar-Rass Stadium,Mohammed Saif Al Harbi,Match Report,
12,Sun,2023-11-05,18:00 (23:00),Al-Taawoun,0–0,Damac,4186,Al Taawoun Stadium,Abdulsamad Ali Bakri,Match Report,
12,Sun,2023-11-05,21:00 (02:00),Al-Ahli,3–0,Al-Riyadh SC,10094,Prince Abdullah Al Faisal Stadium,Ramon Abatti,Match Report,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Thu,2023-11-09,18:00 (23:00),Al-Khaleej,3–1,Al-Ta'ee,2100,Prince Saud bin Jalawi Stadium,Abdulrahman Mohammed Al Sultan,Match Report,
13,Thu,2023-11-09,18:00 (23:00),Al-Raed,2–1,Al-Shabab,4275,Al Taawoun Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
13,Thu,2023-11-09,21:00 (02:00),Al-Riyadh SC,1–1,Al-Fateh,397,King Fahd International Stadium,Abdullah Dhafer Al Shehri,Match Report,
13,Thu,2023-11-09,21:00 (02:00),Damac,2–2,Al-Ahli,13874,Prince Sultan bin Abdul Aziz Stadium,Leandro Rey Hilfer,Match Report,
13,Fri,2023-11-10,18:00 (23:00),Al-Hilal,2–0,Al-Taawoun,28144,King Fahd International Stadium,Iván Barton,Match Report,
13,Fri,2023-11-10,21:00 (02:00),Al-Ittihad,4–2,Abha,16835,Prince Abdullah Al Faisal Stadium,Kevin Ortega,Match Report,
13,Sat,2023-11-11,18:00 (23:00),Al Okhdood SC,2–1,Al-Hazem,588,Prince Hathloul bin Abdulaziz Sports Cit...,Matt Conger,Match Report,
13,Sat,2023-11-11,18:00 (23:00),Al-Fayha,0–0,Al-Ettifaq,610,Al Majma'ah Sport City,Shukri Hussein Al Hunfush,Match Report,
13,Sat,2023-11-11,21:00 (02:00),Al-Wehda,1–3,Al-Nassr,10727,King Abdul Aziz Stadium,Fernando Guerrero,Match Report,
,,,,,,,,,,,
14,Fri,2023-11-24,18:00 (23:00),Al-Taawoun,1–2,Al-Riyadh SC,3611,Al Taawoun Stadium,Shukri Hussein Al Hunfush,Match Report,
14,Fri,2023-11-24,18:00 (23:00),Al-Ettifaq,1–1,Al-Ittihad,12334,Prince Mohammed bin Fahad bin Abdulaziz ...,Tamás Bognár,Match Report,
14,Fri,2023-11-24,21:00 (02:00),Al-Ta'ee,4–3,Al-Raed,4112,Prince Abdul Aziz bin Musa'ed Stadium,Abdulsamad Ali Bakri,Match Report,
14,Fri,2023-11-24,21:00 (02:00),Al-Nassr,3–0,Al Okhdood SC,21752,Al Awwal Park Stadium,Faisal Suleiman Al Balawi,Match Report,
